Name	StrHausNr	PLZ	Ort	Bettenanzahl
Fachkrankenhaus Fur	-	2708	Großschweidnitz	352
Sächsisches Krankenhaus	-	4720	Westewitz über Döbeln	145
Krankenhaus Erlabrunn	-	8349	Erlabrunn	494
Fachkrankenhaus Waldeck	-	18258	Schwaan	131
Krankenhaus Stift Betlehem	-	19288	Ludwigslust	328
Nordwest-Krankenhaus	-	26452	Sande	430
Landeswohlfahrtsverb Hessen	-	34308	Bad Emstal	430
Landeswohlfahrtsverb Hessen	-	34308	Bad Emstal	0
Hess Bruederhaus Ev	-	34613	Schwalmstadt	90
Niedersächsisches	-	37124	Rosdorf	176
Heilstaette Am Meissner	-	37235	Hessisch Lichtenau	92
St Antoniuskrankenhaus	-	56588	Waldbreitbach	162
Landeswohlfahrtsverb Hessen	-	64560	Riedstadt	421
Klinik F Kinder U Jugend-	-	64560	Riedstadt	70
Kliniken Der Stadt	-	66111	Saarbrücken	853
Universitaetskliniken	-	66424	Homburg	1609
Waldkrankenhaus Dalkingen	-	73492	Rainau	38
Klinik Loewenstein	-	74245	Löwenstein	270
Landesklinik	-	75365	Calw	473
Kreiskrankenhaus	-	79822	Titisee-Neustadt	192
Stiftung Liebenau	-	88074	Meckenbeuren	40
Kneippsanatorium Jordanbad	-	88400	Biberach	44
Bezirkskrankenhaus	-	91238	Engelthal	160
St Hedwig-Klinik	A 2 5-7	68159	Mannheim	80
Dreifaltigkeits-Krankenhaus	Aachenerstr 445-449	50931	Köln	145
Fachklinik F Gemuets- U	Aarstr 17	56368	Katzenelnbogen	65
Schlossklinik Abtsee Gmbh	Abtsee 31	83410	Laufen	20
Kreiskrankenhaus	Achdorfer Weg 3	84036	Landshut	367
Priv Klinik Dr Steib	Adelheidstr 18	61462	Königstein	34
Drk-Krankenhaus Diez	Adelheidstrasse 2	65582	Diez	175
St Josef-Krankenhaus	Adolfsstr 15	51373	Leverkusen	193
Westfälische Landesklinik	Agathastr.1	33098	Paderborn	240
Kreiskrankenhaus Elmshorn	Agnes-Karll-Allee	25337	Elmshorn	316
Vitusstift Fachklinik	Ahlhorner Straße 22	49429	Visbek	20
St Hedwig-Hospital	Ahornstr 33	45892	Gelsenkirchen	230
St Joseph-Hospital Laar	Ahrstrasse 100	47139	Duisburg	245
Fachklinik Fuer Neurologie	Akad Krkhs der Univers Ulm	88477	Schwendi	78
St Antonius-Hospital	Albers Allee 5-7	47533	Kleve	437
St Anna-Krankenhaus	Albert-Magnus-Str 33	47259	Duisburg	385
Ev. Krankenhaus	Albert-Rohloff-Straße 2	37581	Bad Gandersheim	171
Kreiskrankenhaus	Albert-Schweitzer-Str 10-20	64711	Erbach	285
Kreiskrankenhaus Tauber-	Albert-Schweitzer-Str 37	97941	Tauberbischofsheim	265
Kreiskrankenhaus	Albert-Schweitzer-Str 90	91710	Gunzenhausen	220
Stadt-U Kreiskrankenhaus	Albert-Schweitzer-Str.10	95326	Kulmbach	420
Kreiskrankenhaus	Albert-Schweitzer-Straße 10	48527	Nordhorn	392
Klinikum Suhl	Albert-Schweitzer-Strasse 3	98527	Suhl	835
Ev. Krh. Ludwigsfelde-Teltow	Albert-Schweitzer-Straße 42-44	14974	Ludwigsfelde	295
Kreiskrankenhaus Nordenham	Albert-Schweitzer-Straße 43	26954	Nordenham	220
Malteser-Krankenhaus	Albert-Struck-Str 1	59075	Hamm	280
Paracelsusklinik Schoeneck	Albertplatz 1	8261	Schöneck	153
Landesfachkrankenhaus	Alexander-Puschkin-Str 17	99734	Nordhausen	346
Klinik Fuer Orthopaedie	Alexanderstr 5-7 A	70184	Stuttgart	93
Zentrum Fuer Psychiatrie	Alexandrinenstr 1	44791	Bochum	145
Alexianer-Krankenhaus	Alexianergraben 33	52064	Aachen	205
St.- Alexius-Krankenhaus	Alexianerplatz 1	41464	Neuss	454
Alexianer-Krankenhaus	Alexianerweg 9	48163	Münster	130
Marienkrankenhaus	Alfredstraße 9	22087	Hamburg	568
Alfried Krupp Von Bohlen	Alfried-Krupp-Str 21	45131	Essen	560
St.- Josefs-Krankenhaus	Allee nach Sanssouci 7	14471	Potsdam	265
Kreiskrankenhaus	Alleenstr 10	78532	Tuttlingen	321
Kreiskrankenhaus	Alleenstraße 10	78532	Tuttlingen	139
Duenkeloh-Klinik	Alleestr 105-107	42853	Remscheid	50
St Elisabeth-Krankenhaus	Alois-Schneider-Str 37	54568	Gerolstein	152
Allgemeines Krankenhaus	Alphonsstraße 14	22043	Hamburg	620
Evangelisches Krankenhaus	Alsterdorfer Straße 440	22299	Hamburg	203
Klinik Dr Roemer	Altburger Weg 2	75365	Calw	82
St Josef-Krankenhaus	Alte-Koelner-Str 9	51688	Wipperfürth	258
Kreiskrankenhaus Westerwald	Alte Frankfurter-Str 12	57627	Hachenburg	215
Klinik Poppenbüttel	Alte Landstraße 284	22339	Hamburg	87
Tagesklinik Kieler Fenster	Alte Lübecker Chaussee 1	24114	Kiel	0
Krankenhaus Pfullendorf	Alte Postgasse 1	88630	Pfullendorf	148
Franziskus-Hospital	Alte Rothenfelder Straße 23	49124	Georgsmarienhütte	320
St Josefs-Krankenhaus	Alte Schulstr 21-23	40789	Monheim	115
Kliniken Am Burggraben	Alte Vlothoer Str 47-49	32105	Bad Salzuflen	30
Kreiskrankenhaus	Alte Waibstadter Str.2	74889	Sinsheim	302
Tagesklinik	Alteburger Str 8-12	50678	Köln	24
Orthopädische Klinik	Alten Eichen 28	28359	Bremen	34
Städtisches Krankenhaus	Altenwalder Chaussee 10-12	27474	Cuxhaven	352
Chirurgische Klinik	Alter Postplatz 2	71332	Waiblingen	44
Frauenklinik Dr. Brachmann	Alter Weg 50	38302	Wolfenbüttel	40
Städtisches Krankenhaus	Alter Weg 80	38302	Wolfenbüttel	353
Privatklinik Dr.Amelung	Altkoenigstr.16	61462	Königstein	85
St Marien-Hospital	Altstadtstr 23	44534	Lünen	593
Kreiskrankenhaus	Alvesloher Straße 27	24568	Kaltenkirchen	208
Auguste-Viktoria-Klinik	Am-Kokturkanal 2 Pst 100161	32545	Bad Oeynhausen	156
Krankenhaus Maria Stern	Am Anger 1	53424	Remagen	183
Kreiskrankenhaus Plochingen	Am Aussichtsturm 5	73207	Plochingen	170
Kreiskrankenhaus	Am Bahnberg 5	31199	Diekholzen	150
St Marien-Hospital	Am Boltenhof 7	46325	Borken	368
St.-Vincenz-Krankenhaus	Am Busdorf 2-4	33098	Paderborn	556
Johanniter-Tagesklinik	Am Carmen-Sylva-Garten 6	56564	Neuwied	0
Malteser-Krankenhaus Kamenz	Am Damm 7	1917	Kamenz	202
Knappschafts Krankenhaus	Am Deimelsberg 34 A	45276	Essen	274
Nervenklinik Krefeld-	Am Dreifaltigkeitskloster	47807	Krefeld	175
Spezialklinik	Am Eichberg	7407	Etzelbach	50
Krankenhaus Eichhof	Am Eichberg 41	36341	Lauterbach	283
Klinik Oeschelbronn	Am Eichhof	75223	Niefern-Öschelbronn	70
Kreiskrankenhs Bad Waldsee	Am Engelberg 29	88239	Wangen	145
Kreiskrankenhs Leutkirch	Am Engelberg 29	88239	Wangen	130
Kreiskrankenhs Wangen	Am Engelberg 29	88239	Wangen	273
Kreiskrankenhs Isny	Am Engelberg 29	88239	Wangen	100
Kreiskrankenhaus	Am Espach 20	87727	Babenhausen	62
Bezirkskrankenhaus	Am Europakanal 71	91056	Erlangen	491
Bezirkskrankenhaus	Am Fahlenberg 2-10	34385	Bad Karlshafen	134
Städtische Kliniken	Am Finkenhügel 1	49076	Osnabrück	583
Klinik Am Hellweg	Am Flugplatz 12	33813	Oerlinghausen	160
Kreiskrankenhaus Bützow	Am Forsthof 11	18246	Bützow	135
Städtisches Krankenhaus	Am Friedenshof 5	23966	Wismar	788
Stadt Heilbronn	Am Gesundbrunnen 20	74078	Heilbronn	838
Heinz Kalk-Klinik	Am Gradierbau 2	97688	Bad Kissingen	86
Kreiskrankenhaus	Am Greinberg 25	97199	Ochsenfurt	170
Kreiskrankenhaus	Am Griesberg 1	84347	Pfarrkirchen	207
Arbeiter-Samariter-Bund	Am Grossen Wannsee 28-30	14109	Berlin	223
Entzugsstation der Übergangs	Am Grünen Loch 2	35647	Waldsolms	8
St Antonius-Krankenhaus	Am Haehnchen 36	53937	Schleiden	142
Johanna-Etienne-Krankenhaus	Am Hasenberg 46	41462	Neuss	400
Klinikum Aschaffenburg	Am Hasenko	63739	Aschaffenburg	668
Klinik für ästhetisch-	Am Hauptbahnhof 12	60329	Frankfurt	0
Dominikus-Krankenhaus	Am Heerdter Krankenhaus 2	40549	Düsseldorf	400
Asklepios-Klinik	Am Hochkamp 21	23611	Bad Schwartau	80
Klinik Am Hohen Berg	Am Hohen Berg 20	35315	Homberg	50
Berglandklinik	Am Hundebrink 6	58511	Lüdenscheid	32
Chirurg Klinik Dr Rinecker	Am Isarkanal 30	81379	München	264
Kreiskrankenhaus	Am Kaelblesrain 1-10	73430	Aalen	437
