Name	StrHausNr	PLZ	Ort	Bettenanzahl
Achenbach-Kreiskrankenhaus	Köpenicker Str 29	15711	Königs Wusterhausen	447
Agnes-Karll-Krankenhaus	Hildesheimer Straße 158	30880	Laatzen	290
Kosmas-Klinik		53474	Bad Neuenahr-Ahrweiler	4
Fachklinik Dr Stecher	Hugo Roempler Str 11	75328	Schömberg	102
Humaine-Klinikum Bad-Saarow	Pieskower Strasse 33	15526	Bad Saarow-Pieskow	666
Albert-Schweitzer-Kranken-	Grafplatz 5	37170	Uslar	91
Kreiskrankenhaus	Strasse des Friedens 21	18225	Kühlungsborn	200
Privatklinik Dr Decker	Seestr 12	80802	München	75
Klinikum Südstadt	Südring 81	18059	Rostock	461
Klinikum Niederberg	Robert-Koch-Str 2	42549	Velbert	584
Alexianer-Krankenhaus	Alexianergraben 33	52064	Aachen	205
St.- Alexius-Krankenhaus	Alexianerplatz 1	41464	Neuss	454
St Josef-Krankenhaus	Koblenzer Str 23	54411	Hermeskeil	245
Kreiskrankenhaus	Nuernberger Str 12	92318	Neumarkt	463
Alexianer-Krankenhaus	Alexianerweg 9	48163	Münster	130
Klinikum Leverkusen Ggmbh	Dhuennberg 60	51375	Leverkusen	775
Kreiskrankenhaus	Lindenstrasse 32	39615	Seehausen	255
Kreiskrankenhaus	Alleenstraße 10	78532	Tuttlingen	139
Itertalklinik	Eisenhuette 21-23	52076	Aachen	23
Kreiskrankenhaus	Friedrich-Ludwig-Jahn-Str 2	6749	Bitterfeld	340
Kreiskrankenhaus Teterow	Goetherstrasse 14	17166	Teterow	167
Stadtkrankenhaus	Grosse Allee 50	34454	Arolsen	180
Kreiskrankenhaus Wedel	Holmer Straße 55	22880	Wedel	175
Rheumaklinik	Landgrafenstr 15	44652	Herne	150
Neinstedter Anstalten	Lindenstrasse 22	6502	Neinstedt	40
Krankenhaus An Der Lieth	Pappelweg 5	37120	Bovenden	102
Klinik Dr Heines	Rockwinkeler Landstraße 110	28355	Bremen	115
Kreiskrankenhaus Schopfheim	Schwarzwaldstr 40	79650	Schopfheim	150
Krankenhaus d Vereinigt	Stoffelsberg 4	86720	Nördlingen	169
